starttime,stoptime,ss_lat,ss_long,es_lat,es_long
2013-07-01T01:11:13,2013-07-01T01:25:30,40.72917025,-73.99810231,40.73028666,-73.9907647
2013-07-01T01:11:48,2013-07-01T01:22:28,40.76669671,-73.99061728,40.7149787,-74.013012
2013-07-01T01:12:52,2013-07-01T01:31:08,40.71044554,-73.96525063,40.68382604,-73.97632328
2013-07-01T01:12:53,2013-07-01T01:28:40,40.7149787,-74.013012,40.68753406,-73.97265183
2013-07-01T01:13:27,2013-07-01T01:26:42,40.73492695,-73.99200509,40.71427487,-73.98990025
2013-07-01T01:14:13,2013-07-01T01:24:41,40.73704984,-73.99009296,40.76915505,-73.98191841
2013-07-01T01:14:44,2013-07-01T01:30:29,40.71754834,-74.01322069,40.70251526,-74.01427023
2013-07-01T01:14:57,2013-07-01T01:39:53,40.73781509,-73.99994661,40.72066442,-73.98517977
2013-07-01T01:15:03,2013-07-01T01:27:12,40.76727216,-73.99392888,40.72066442,-73.98517977
2013-07-01T01:15:06,2013-07-01T01:30:43,40.71754834,-74.01322069,40.70251526,-74.01427023
2013-07-01T01:15:19,2013-07-01T01:25:10,40.68312489,-73.97895137,40.69512845,-73.99595065
2013-07-01T01:15:24,2013-07-01T01:25:47,40.73935542,-73.99931783,40.73038599,-74.00214988
